Field Name	Content	UC_ID	Target_Range
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-REG-01: Valid registration full name:
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

pre BR_REG_01_Defined:
  not dto.fullName.oclIsUndefined()

pre BR_REG_01_Length:
  let normalizedName : String = trim(nfc(dto.fullName))
  in
    normalizedName.size() >= 4 and
    normalizedName.size() <= 25

pre BR_REG_01_Pattern:
  let normalizedName : String = trim(nfc(dto.fullName))
  in
    matches(
      normalizedName,
      '^[\p{L}]+(?: [\p{L}]+)*$'
    )

post BR_REG_01_Normalized:
  let normalizedName : String = trim(nfc(dto.fullName))
  in
    result.success implies
      not result.data.oclIsUndefined() and
      not result.data.user.oclIsUndefined() and
      result.data.user.fullName = normalizedName

BR-REG-02: Valid registration email:
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

pre BR_REG_02_Defined:
  not dto.email.oclIsUndefined()

pre BR_REG_02_NotEmpty:
  trim(dto.email).size() > 0

pre BR_REG_02_MaxLength:
  let normalizedEmail : String = lower(trim(dto.email))
  in
    normalizedEmail.size() <= 255

pre BR_REG_02_ValidFormat:
  let normalizedEmail : String = lower(trim(dto.email))
  in
    isEmail(normalizedEmail)

post BR_REG_02_Normalized:
  let normalizedEmail : String = lower(trim(dto.email))
  in
    result.success implies
      not result.data.oclIsUndefined() and
      not result.data.user.oclIsUndefined() and
      result.data.user.email = normalizedEmail

BR-REG-03: Unique registration email:
context User

inv BR_REG_03_UniqueNormalizedEmail:
  User.allInstances()->isUnique(
    user | lower(trim(user.email))
  )

context AuthService::register(
  dto : RegisterDto
) : AuthResponse

pre BR_REG_03_EmailNotRegistered:
  not User.allInstances()->exists(
    user |
      lower(trim(user.email)) =
      lower(trim(dto.email))
  )

BR-REG-04: Valid registration password
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

pre BR_REG_04_Defined:
  not dto.password.oclIsUndefined()

pre BR_REG_04_Length:
  dto.password.size() >= 8 and
  dto.password.size() <= 64

pre BR_REG_04_NoWhitespace:
  not matches(
    dto.password,
    '.*\s.*'
  )

pre BR_REG_04_ContainsLowercase:
  matches(
    dto.password,
    '.*[a-z].*'
  )

pre BR_REG_04_ContainsUppercase:
  matches(
    dto.password,
    '.*[A-Z].*'
  )

pre BR_REG_04_ContainsDigit:
  matches(
    dto.password,
    '.*[0-9].*'
  )

pre BR_REG_04_ContainsSpecialCharacter:
  matches(
    dto.password,
    '.*[!@#$%^&*(){}\-_+=\[\],./<>?\\|:;].*'
  )

BR-REG-05: Permitted password characters
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

pre BR_REG_05_AllowedCharacters:
  matches(
    dto.password,
    '^[A-Za-z0-9!@#$%^&*(){}_=+\[\],./<>?\\|:;\-]+$'
  )

BR-REG-06: Matching registration passwords
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

pre BR_REG_06_ConfirmPasswordDefined:
  not dto.confirmPassword.oclIsUndefined()

pre BR_REG_06_PasswordsMatch:
  dto.confirmPassword = dto.password

BR-REG-07: Confirm password handling
confirmPassword shall not be persisted or written to application logs.

BR-REG-08: Invalid registration handling
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

post BR_REG_08_InvalidRequestRejected:
  not self.isRegistrationInputValid(dto)
  implies
    result.success = false

post BR_REG_08_NoUserCreated:
  not self.isRegistrationInputValid(dto)
  implies
    User.allInstances()->size() =
    User.allInstances()@pre->size()

BR-REG-09: Bcrypt password storage
context AuthService::register(
  dto : RegisterDto
) : AuthResponse

post BR_REG_09_PasswordHashed:
  result.success implies
    let createdUser : User =
      User.allInstances()->any(
        user |
          lower(trim(user.email)) =
          lower(trim(dto.email))
      )
    in
      not createdUser.oclIsUndefined() and
      createdUser.passwordHash <> dto.password and
      bcryptMatches(
        dto.password,
        createdUser.passwordHash
      ) and
      bcryptCost(createdUser.passwordHash) = 10
Technical constraints:
- The plaintext password shall not be persisted or logged.
- Neither the plaintext password nor passwordHash shall be included in the API response.
- The bcrypt hash shall be generated before the User record is persisted.

BR-REG-10: Concurrent registration conflict handling
context User

inv BR_REG_10_AtMostOneUserPerNormalizedEmail:
  User.allInstances()->forAll(user |
    User.allInstances()
      ->select(other |
        lower(trim(other.email)) =
        lower(trim(user.email))
      )
      ->size() = 1
  )
Technical constraints:
- User.email shall be protected by the database unique constraint defined in BR-REG-03.
- If multiple concurrent registration requests contain the same normalized email, exactly one User creation shall succeed.
- Each conflicting request shall be rejected with HTTP 409 Conflict.
- A rejected request shall not issue a JWT or establish an authenticated session.
- After all concurrent requests complete, exactly one User shall exist for the normalized email.

BR-REG-11: Successful registration
context AuthService::register(
  dto : RegisterDto
) : RegisterResponseDto

post BR_REG_11_SuccessResponse:
  result.success implies
    result.message.size() > 0 and
    not result.data.oclIsUndefined() and
    not result.data.user.oclIsUndefined() and
    not result.data.accessToken.oclIsUndefined() and
    result.data.accessToken.size() > 0

post BR_REG_11_UserCreated:
  result.success implies
    User.allInstances()->one(user |
      user.id = result.data.user.id and
      lower(trim(user.email)) =
        lower(trim(dto.email))
    )
Technical constraints:
- After the User has been successfully persisted, the backend shall issue a signed JWT access token identifying that User.
- The successful response shall contain the created user information and access token inside the data object.
- After receiving the successful response, the client shall establish an authenticated session using the returned token.
- The client shall redirect the authenticated user to the home page.
- A session shall not be established and navigation shall not occur when registration fails.
~~~"	UC-01	A5:B25
		UC-01	A5:B25
Use Case ID	UC-02	UC-02	A26:B44
Use Case Name	Log In	UC-02	A26:B44
Description	As a registered visitor, I want to log in with my email address and password so that the application creates an authenticated session.	UC-02	A26:B44
Actor(s)	Visitor	UC-02	A26:B44
Priority	Not Specified	UC-02	A26:B44
Trigger	The visitor opens the login page or selects the Login link.	UC-02	A26:B44
Pre-Condition(s)	"PRE-1: The login route (/login) is accessible to the visitor.
PRE-2: The backend and database services are operational."	UC-02	A26:B44
Post-Condition(s)	"POST-1: On success, an authenticated user session is established and the user is redirected to the home page.
POST-2: On failure, no authenticated session is created, the visitor remains on the login page, and an error notification is displayed."	UC-02	A26:B44
Basic Flow	"1. The visitor opens the login page (/login).
2. The frontend displays the login form (LoginForm).
3. The visitor enters credentials: email and password.
4. The visitor submits the login form.
5. The frontend performs preliminary validation on the credentials.
6. The frontend sends the authentication request (POST /api/auth/login) to the backend API.
7. The backend verifies the submitted credentials against registered accounts according to established security and authentication rules.
8. Upon successful authentication, the backend issues an authenticated session.
9. The backend returns a successful response with session credentials and user profile information.
10. The frontend establishes the authenticated session and redirects the user to the home page (/)."	UC-02	A26:B44
Alternative Flow	"AF-1: Client-side validation failure
5a. If credentials fail preliminary validation, the frontend displays field-level error messages and halts submission without calling the API."	UC-02	A26:B44
Exception Flow	"EF-1: Authentication failure / Invalid credentials
7a. If credentials do not match an active registered account or fail security verification, the backend rejects the request and the frontend displays an authentication failure notification.

EF-2: Service or network failure
6a. If the request encounters a network error or server malfunction, the frontend displays a general failure message and remains on the login page."	UC-02	A26:B44
Related UI	Login page; LoginForm; route /login; AuthContext	UC-02	A26:B44
Related API IDs	API-AUTH-LOGIN	UC-02	A26:B44
Notes	Scope clarification: Authentication data is persisted in localStorage regardless of the “Keep me signed in” selection. Password recovery and Google login are outside scope.	UC-02	A26:B44
UML Model	"~~~plantuml
@startuml

class LoginDto <<DTO>> {
  email: String [0..1]
  password: String [0..1]
}

class User <<Entity>> {
  id: Integer [1]
  fullName: String [1]
  email: String [1]
  passwordHash: String [1]
}

class LoginUserDto <<DTO>> {
  id: Integer [1]
  fullName: String [1]
  email: String [1]
}

class LoginDataDto <<DTO>> {
  accessToken: String [1]
  user: LoginUserDto [1]
}

class LoginResponseDto <<DTO>> {
  success: Boolean [1]
  message: String [1]
  data: LoginDataDto [0..1]
}

class PasswordHasher <<Service>> {
  matches(password: String, hash: String): Boolean {query}
}

class AuthService <<Service>> {
  login(dto: LoginDto): LoginResponseDto
  isLoginInputValid(dto: LoginDto): Boolean {query}
}

AuthService ..> LoginDto
AuthService ..> LoginResponseDto
AuthService ..> PasswordHasher

LoginResponseDto --> LoginDataDto
LoginDataDto --> LoginUserDto
LoginUserDto ..> User : maps from

@enduml
~~~"	UC-02	A26:B44
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-LOG-01 - Valid login email

context AuthService::login(
  dto : LoginDto
) : LoginResponseDto

pre BR_LOG_01_Defined:
  not dto.email.oclIsUndefined()

pre BR_LOG_01_NotEmpty:
  trim(dto.email).size() > 0

pre BR_LOG_01_ValidFormat:
  let normalizedEmail : String =
    lower(trim(dto.email))
  in
    isEmail(normalizedEmail)

BR-LOG-02 - Non-empty login password

context AuthService::login(
  dto : LoginDto
) : LoginResponseDto

pre BR_LOG_02_Defined:
  not dto.password.oclIsUndefined()

pre BR_LOG_02_NotEmpty:
  dto.password.size() > 0

BR-LOG-03 - Existing login account

context AuthService::login(
  dto : LoginDto
) : LoginResponseDto

post BR_LOG_03_SuccessRequiresExistingUser:
  result.success implies
    User.allInstances()->exists(
      user |
        lower(trim(user.email)) =
        lower(trim(dto.email))
    )

BR-LOG-04 - Credential verification

context AuthService::login(
  dto : LoginDto
) : LoginResponseDto

post BR_LOG_04_SuccessRequiresValidCredentials:
  result.success implies
    User.allInstances()->exists(
      user |
        lower(trim(user.email)) =
          lower(trim(dto.email))
        and
        self.passwordHasher.matches(
          dto.password,
          user.passwordHash
        )
    )

BR-LOG-05 - Invalid credential handling

context AuthService::login(
  dto : LoginDto
) : LoginResponseDto

post BR_LOG_05_InvalidCredentialsRejected:
  let credentialsValid : Boolean =
    User.allInstances()->exists(
      user |
        lower(trim(user.email)) =
          lower(trim(dto.email))
        and
        self.passwordHasher.matches(
          dto.password,
          user.passwordHash
        )
    )
  in
    result.success = credentialsValid

Technical constraints:

If credentialsValid = false, the backend shall return HTTP 401 Unauthorized.
The same authentication error shall be returned when the email does not exist or when the password is incorrect.

BR-LOG-06 - Successful login

context AuthService::login(
  dto : LoginDto
) : LoginResponseDto

post BR_LOG_06_SuccessResponse:
  result.success implies
    not result.data.oclIsUndefined() and
    not result.data.accessToken.oclIsUndefined() and
    result.data.accessToken.size() > 0 and
    not result.data.user.oclIsUndefined()

post BR_LOG_06_CorrectAuthenticatedUser:
  result.success implies
    User.allInstances()->exists(
      user |
        user.id = result.data.user.id and
        lower(trim(user.email)) =
          lower(trim(dto.email)) and
        result.data.user.fullName = user.fullName and
        result.data.user.email = user.email
    )

Technical constraints:

The backend shall issue a signed JWT access token after successful authentication.
Neither the submitted plaintext password nor the stored password hash shall be included in the API response.
After receiving a successful response, the client shall establish the authenticated session using the returned access token and user information.
~~~"	UC-02	A26:B44
		UC-02	A26:B44
Use Case ID	UC-03	UC-03	A45:B63
Use Case Name	View Transaction History	UC-03	A45:B63
Description	As an authenticated user, I want to view, filter, and paginate transactions belonging to my accounts.	UC-03	A45:B63
Actor(s)	Authenticated User	UC-03	A45:B63
Priority	Not Specified	UC-03	A45:B63
Trigger	The user opens the Transactions page.	UC-03	A45:B63
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: The protected route (/transactions) is accessible to the authenticated user."	UC-03	A45:B63
Post-Condition(s)	"POST-1: The page displays the user's transaction history matching the selected filter and pagination parameters.
POST-2: If no transactions exist for the selected criteria, an empty-state message is displayed.
POST-3: The user views the transaction list without modifying existing records."	UC-03	A45:B63
Basic Flow	"1. The user navigates to the Transactions page (/transactions).
2. The page initializes default query parameters (filter and pagination settings).
3. The frontend requests the initial transaction list (GET /api/v1/transactions) with default parameters.
4. The backend authenticates the user and verifies authorization.
5. The backend retrieves transaction records based on the requested filter and pagination criteria.
6. The backend returns the transaction list along with total count and pagination metadata.
7. The frontend renders the transaction history items and pagination controls."	UC-03	A45:B63
Alternative Flow	"AF-1: Filter by transaction type
2a. The user selects a specific transaction type filter.
2b. The page resets pagination and requests transaction data according to the selected filter criteria.

AF-2: Pagination / Load more
7a. If additional transaction pages are available, the user requests to load more records.
7b. The frontend requests the subsequent page of transactions and appends them to the current list.

AF-3: Empty transaction history
5a. If no transactions match the query criteria, the system returns an empty result set.
7c. The frontend displays the appropriate empty-state message."	UC-03	A45:B63
Exception Flow	"EF-1: Unauthorized request
4a. If user authentication is missing or invalid, the backend rejects the request and the frontend redirects the user to the login page.

EF-2: Invalid query parameters
5b. If query parameters fail validation, the backend rejects the request and the frontend displays a validation error.

EF-3: Service failure
5c. If transaction retrieval encounters a server or database error, the frontend displays an error notification."	UC-03	A45:B63
Related UI	TransactionsPage; route /transactions	UC-03	A45:B63
Related API IDs	API-TRANSACTION-LIST	UC-03	A45:B63
Notes	Not specified	UC-03	A45:B63
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [1]
  profile_picture_url: String [1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

class Category <<Entity>> {
  category_id: Integer [1]
  category_name: String [1]
}

class Transaction <<Entity>> {
  transaction_id: Integer [1]
  account_id: Integer [1]
  transaction_date: Date [1]
  type: TransactionType [1]
  item_description: String [1]
  shop_name: String [1]
  amount: Decimal [1]
  payment_method: String [1]
  status: TransactionStatus [1]
  receipt_id: Integer [1]
  category_id: Integer [0..1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}
note right of AccountType
  Credit_Card maps to database literal 'Credit Card'.
end note

enum TransactionType {
  Revenue
  Expense
}

enum TransactionStatus {
  Complete
  Pending
  Failed
}

enum TransactionFilterType {
  All
  Revenue
  Expense
}

class TransactionListQueryDto <<DTO>> {
  type: TransactionFilterType [1]
  limit: Integer [0..1]
  offset: Integer [0..1]
}

class TransactionDto <<DTO>> {
  transaction_id: Integer [1]
  account_id: Integer [1]
  transaction_date: Date [1]
  type: TransactionType [1]
  item_description: String [1]
  shop_name: String [1]
  amount: Decimal [1]
  payment_method: String [1]
  status: TransactionStatus [1]
}

class TransactionListResponseDto <<DTO>> {
  data: TransactionDto [*]
  total: Integer [1]
  hasMore: Boolean [1]
}

class TransactionService <<Service>> {
  findAllByUserId(user_id: Integer, type: TransactionFilterType, limit: Integer, offset: Integer): TransactionListResponseDto
}

User ""1"" -- ""0..*"" Account : owns
Account ""1"" -- ""0..*"" Transaction : contains
Category ""0..1"" -- ""0..*"" Transaction : classifies

TransactionService ..> TransactionListQueryDto
TransactionService ..> TransactionListResponseDto
TransactionListResponseDto --> TransactionDto
TransactionDto ..> Transaction : maps from

@enduml
~~~"	UC-03	A45:B63
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-TXN-01: Transaction ownership and user scope
context TransactionService::findAllByUserId(
  user_id : Integer,
  type : TransactionFilterType,
  limit : Integer,
  offset : Integer
) : TransactionListResponseDto

pre BR_TXN_01_UserExists:
  User.allInstances()->exists(u |
    u.user_id = user_id
  )

post BR_TXN_01_OwnedAccountsOnly:
  result.data->forAll(t |
    Account.allInstances()->exists(a |
      a.account_id = t.account_id and
      a.user_id = user_id
    )
  )

Technical constraints:
- The authenticated user identity is derived from the validated JWT token.
- Only transaction records belonging to accounts owned by the authenticated user shall be retrieved.

BR-TXN-02: Type filter semantics and failed transaction retention window
context TransactionService::findAllByUserId(
  user_id : Integer,
  type : TransactionFilterType,
  limit : Integer,
  offset : Integer
) : TransactionListResponseDto

pre BR_TXN_02_AllowedFilter:
  Set{TransactionFilterType::All,
      TransactionFilterType::Revenue,
      TransactionFilterType::Expense}->includes(type)

post BR_TXN_02_FilterApplied:
  (type = TransactionFilterType::Revenue implies
    result.data->forAll(t |
      t.type = TransactionType::Revenue
    )) and
  (type = TransactionFilterType::Expense implies
    result.data->forAll(t |
      t.type = TransactionType::Expense
    ))

post BR_TXN_02_FailedRetentionWindow:
  result.data->forAll(t |
    t.status = TransactionStatus::Failed implies
      t.transaction_date >= currentDate() - 30
  )

context Transaction
inv BR_TXN_02_StoredType:
  type = TransactionType::Revenue or
  type = TransactionType::Expense

Technical constraints:
- All is a query/UI filter only; it shall never be stored in Transactions.type.
- Transactions with status Failed that are older than 30 days relative to the current system date shall be automatically excluded from the query results.

BR-TXN-03: Status-priority multi-tier ordering and dynamic limit clamping
context TransactionService::findAllByUserId(
  user_id : Integer,
  type : TransactionFilterType,
  limit : Integer,
  offset : Integer
) : TransactionListResponseDto

pre BR_TXN_03_LimitPositive:
  limit > 0

pre BR_TXN_03_OffsetNonNegative:
  offset >= 0

post BR_TXN_03_MaxPageSizeClamped:
  (limit > 50 implies result.data->size() <= 50) and
  (limit <= 50 implies result.data->size() <= limit)

post BR_TXN_03_HasMore:
  result.hasMore =
    (offset + result.data->size() < result.total)

post BR_TXN_03_PriorityStatusOrdering:
  result.data->size() <= 1 or
  Sequence{1..result.data->size()-1}->forAll(i |
    let curr = result.data->at(i) in
    let nxt = result.data->at(i + 1) in
    (curr.status = TransactionStatus::Pending and nxt.status <> TransactionStatus::Pending) or
    (curr.status = nxt.status and curr.transaction_date > nxt.transaction_date) or
    (curr.status = nxt.status and curr.transaction_date = nxt.transaction_date and curr.transaction_id >= nxt.transaction_id) or
    (curr.status <> TransactionStatus::Pending and nxt.status <> TransactionStatus::Pending and curr.transaction_date > nxt.transaction_date) or
    (curr.status <> TransactionStatus::Pending and nxt.status <> TransactionStatus::Pending and curr.transaction_date = nxt.transaction_date and curr.transaction_id >= nxt.transaction_id)
  )

Technical constraints:
- If limit is omitted, default to limit = 10. If limit exceeds 50, clamp effective limit to 50 without rejecting the request.
- If offset is omitted, default to offset = 0.
- Transactions with status Pending shall be sorted first, followed by descending transaction_date, then descending transaction_id.

BR-TXN-04: Database relationship integrity
context Account
inv BR_TXN_04_AccountOwnerExists:
  User.allInstances()->exists(u |
    u.user_id = self.user_id
  )

context Transaction
inv BR_TXN_04_TransactionAccountExists:
  Account.allInstances()->exists(a |
    a.account_id = self.account_id
  )

inv BR_TXN_04_OptionalCategoryValid:
  self.category_id.oclIsUndefined() or
  Category.allInstances()->exists(c |
    c.category_id = self.category_id
  )

BR-TXN-05: Empty transaction result consistency
context TransactionService::findAllByUserId(
  user_id : Integer,
  type : TransactionFilterType,
  limit : Integer,
  offset : Integer
) : TransactionListResponseDto

post BR_TXN_05_EmptyResultConsistency:
  result.total = 0 implies
    result.data->isEmpty() and
    result.hasMore = false

Technical constraint:
- When total equals 0, the frontend shall display the empty-state message ""No transactions are found!"" and pagination controls shall not load further records.

BR-TXN-06: Status-dependent signed amount and conditional merchant masking
context TransactionService::findAllByUserId(
  user_id : Integer,
  type : TransactionFilterType,
  limit : Integer,
  offset : Integer
) : TransactionListResponseDto

post BR_TXN_06_ResponseMappingAndSignedAmount:
  result.data->forAll(dto |
    Transaction.allInstances()->exists(t |
      t.transaction_id = dto.transaction_id and
      t.account_id = dto.account_id and
      t.transaction_date = dto.transaction_date and
      t.type = dto.type and
      t.item_description = dto.item_description and
      t.payment_method = dto.payment_method and
      t.status = dto.status and
      ((t.status = TransactionStatus::Complete and t.type = TransactionType::Expense and dto.amount = -(t.amount)) or
       (t.status = TransactionStatus::Complete and t.type = TransactionType::Revenue and dto.amount = t.amount) or
       (t.status <> TransactionStatus::Complete and dto.amount = t.amount)) and
      ((t.payment_method = 'Credit Card' and t.status = TransactionStatus::Pending and dto.shop_name = '***') or
       (not (t.payment_method = 'Credit Card' and t.status = TransactionStatus::Pending) and dto.shop_name = t.shop_name))
    )
  )

Technical constraints:
- Completed Expense transactions shall have negative amounts in the response; Completed Revenue transactions remain positive.
- Pending or Failed transactions shall preserve their unsigned absolute amount.
- Pending transactions paid via Credit Card shall have shop_name masked as '***'.

BR-TXN-07: Read-only query idempotency and audit immutability
context TransactionService::findAllByUserId(
  user_id : Integer,
  type : TransactionFilterType,
  limit : Integer,
  offset : Integer
) : TransactionListResponseDto

post BR_TXN_07_TransactionIdentityUnchanged:
  Transaction.allInstances()->collect(t | t.transaction_id)->asSet() =
  Transaction.allInstances()@pre->collect(t | t.transaction_id)->asSet()

post BR_TXN_07_TransactionDataUnchanged:
  Transaction.allInstances()->forAll(t |
    Transaction.allInstances()@pre->exists(old |
      old.transaction_id = t.transaction_id and
      old.account_id = t.account_id and
      old.transaction_date = t.transaction_date and
      old.type = t.type and
      old.item_description = t.item_description and
      old.shop_name = t.shop_name and
      old.amount = t.amount and
      old.payment_method = t.payment_method and
      old.status = t.status and
      old.receipt_id = t.receipt_id and
      old.category_id = t.category_id
    )
  )

post BR_TXN_07_AccountIdentityUnchanged:
  Account.allInstances()->collect(a | a.account_id)->asSet() =
  Account.allInstances()@pre->collect(a | a.account_id)->asSet()

Technical constraint:
- Listing transaction history shall never create, mutate, or delete Transactions, Accounts, or Users records.
~~~"	UC-03	A45:B63
		UC-03	A45:B63
Use Case ID	UC-04	UC-04	A64:B82
Use Case Name	Create a Transaction	UC-04	A64:B82
Description	As an authenticated user, I want to create a revenue or expense transaction for one of my accounts.	UC-04	A64:B82
Actor(s)	Authenticated User	UC-04	A64:B82
Priority	Not Specified	UC-04	A64:B82
Trigger	The user selects Add Transaction from the Transactions page.	UC-04	A64:B82
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: The user has at least one active bank account eligible for transactions."	UC-04	A64:B82
Post-Condition(s)	"POST-1: On success, the transaction is created and persisted, and the user receives a success confirmation.
POST-2: On failure, no transaction is created and an appropriate error message is displayed."	UC-04	A64:B82
Basic Flow	"1. The user navigates to the transaction creation screen (/transactions/add).
2. The form loads the user's available accounts and available transaction categories.
3. The user fills in the transaction details (description, amount, type, account, date, counterparty/shop, payment method, and optional category).
4. The user submits the transaction form.
5. The frontend performs preliminary validation on the entered transaction details.
6. The frontend sends the creation request (POST /api/v1/transactions) to the backend API.
7. The backend authenticates the request and validates all transaction inputs according to established business rules.
8. Upon successful validation, the backend creates and persists the new transaction record.
9. The backend returns a success response with the created transaction details.
10. The frontend displays a success notification, clears form fields, and navigates back to the transactions list."	UC-04	A64:B82
Alternative Flow	"AF-1: Revenue transaction
3a. The user selects a Revenue transaction type.
8a. The system processes and records the revenue transaction.

AF-2: Transaction without category
3b. The user leaves the optional category unselected.
8b. The system records the transaction without assigning a category classification.

AF-3: Category list unavailable
2a. If category options cannot be loaded, the frontend notifies the user while allowing transaction creation to continue.

AF-4: Form cancellation
4a. The user cancels the operation and the frontend returns to the transaction list without submitting."	UC-04	A64:B82
Exception Flow	"EF-1: Account data unavailable
2b. If the user's accounts cannot be retrieved, the frontend informs the user and disables submission until an account is available.

EF-2: Client-side validation failure
5a. If required fields fail preliminary validation, the frontend displays field errors and prevents submission.

EF-3: Unauthorized request
7a. If authentication is missing or expired, the backend rejects the request and the user is redirected to login.

EF-4: Business validation failure
7b. If the transaction violates business constraints, the backend rejects the request and the frontend displays the returned error.

EF-5: Processing failure
8c. If a server or persistence error occurs, the backend rejects the request and the frontend displays an error notification."	UC-04	A64:B82
Related UI	AddTransactionPage; AddTransactionForm; route /transactions/add	UC-04	A64:B82
Related API IDs	API-TRANSACTION-CREATE; API-ACCOUNT-LIST; API-CATEGORY-LIST	UC-04	A64:B82
Notes	Scope clarification: This use case handles direct transaction creation for user bank accounts. Receipt file attachment and recurring schedule setup are outside scope.	UC-04	A64:B82
